country,date,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential,driving,transit,walking
Austria,2020-08-23,-3,14,87,-4,-4,-3,66.87,0,13.68
Austria,2020-08-24,-1,-5,90,-20,-33,3,60.91,0,40.97
Austria,2020-08-25,-1,-8,149,-18,-32,2,62.95,0,45.98
Austria,2020-08-26,-5,-9,132,-20,-32,1,64.27,0,39.1
Austria,2020-08-27,-5,-9,102,-19,-32,2,64.3,0,39.23
Austria,2020-08-28,-11,-10,81,-21,-33,2,72.19,0,37.45
Austria,2020-08-29,-14,-14,45,-16,-11,-1,54.98,0,24.46
Austria,2020-08-30,-18,-4,23,-15,-10,-1,47.39,0,-2.79000000000001
Austria,2020-08-31,-2,-6,49,-21,-31,3,50.92,0,24.27
Austria,2020-09-01,-4,-6,40,-24,-32,4,48.39,0,25.12
Austria,2020-09-02,-3,-8,74,-20,-31,2,45.8,0,31.98
Austria,2020-09-03,-3,-8,77,-18,-31,1,57.49,0,40.4
Austria,2020-09-04,-6,-9,88,-18,-31,0,71.55,0,47.27
Austria,2020-09-05,-7,-16,117,-7,-8,-5,60.6,0,43.66
Austria,2020-09-06,-19,-3,10,-20,-13,0,45.75,0,-2.77
Austria,2020-09-07,2,-4,48,-18,-30,2,47.44,0,32.34
Austria,2020-09-08,2,-5,112,-13,-28,1,49.53,0,38.96
Austria,2020-09-09,-1,-9,110,-13,-27,0,55.5,0,39.2
Austria,2020-09-10,-4,-7,79,-15,-28,0,34.71,0,22.85
Austria,2020-09-11,-6,-8,85,-14,-28,-2,64.93,0,41.31
Austria,2020-09-12,-6,-13,112,-8,-8,-5,57.81,0,43.72
Austria,2020-09-13,3,7,115,-2,-4,-6,58.71,0,13.73
Austria,2020-09-14,-2,-5,100,-12,-23,-1,42.96,0,27.16
Austria,2020-09-15,-4,-5,122,-10,-22,-1,44.75,0,28.53
Austria,2020-09-16,-7,-6,99,-12,-23,-1,44.79,0,27.32
Austria,2020-09-17,-11,-8,45,-15,-24,1,45.51,0,25.06
Austria,2020-09-18,-12,-8,68,-14,-24,0,55.38,0,28.93
Austria,2020-09-19,-11,-14,90,-14,-10,-2,51.77,0,27.23
Austria,2020-09-20,-3,-2,97,-8,-6,-3,46.33,0,4.2
Austria,2020-09-21,-10,-8,73,-15,-23,0,28.18,0,13.8
Austria,2020-09-22,-11,-8,88,-14,-22,1,28.17,0,15.32
Austria,2020-09-23,-17,-7,34,-17,-22,3,28.83,0,9.81999999999999
Austria,2020-09-24,-16,-10,47,-15,-22,2,28.05,0,10.83
Austria,2020-09-25,-25,-10,-24,-23,-23,5,26.75,0,-4.39
Austria,2020-09-26,-22,-12,-13,-31,-13,4,9.68000000000001,0,-5.70999999999999
Austria,2020-09-27,-19,-15,50,-17,-8,0,14.36,0,-11.68
Austria,2020-09-28,-20,-10,-17,-21,-20,4,10.95,0,-5.63
Austria,2020-09-29,-18,-7,11,-19,-19,3,14.61,0,1.84999999999999
Austria,2020-09-30,-16,-6,18,-17,-20,2,17.56,0,11.6
Austria,2020-10-01,-14,-5,19,-16,-17,1,18.01,0,13.8
Austria,2020-10-02,-20,-5,9,-17,-18,2,24.64,0,12.38
Austria,2020-10-03,-18,-10,14,-23,-10,1,15,0,10.63
Austria,2020-10-04,-15,-12,61,-12,-8,-1,20.17,0,0.939999999999998
Austria,2020-10-05,-18,-8,-1,-17,-18,2,12.34,0,7.53
Austria,2020-10-06,-16,-7,37,-14,-18,2,12.31,0,11.17
Austria,2020-10-07,-19,-6,0,-18,-18,3,12.71,0,7.55
Austria,2020-10-08,-19,-8,16,-17,-17,2,14.01,0,11.11
Austria,2020-10-09,-20,-9,31,-16,-17,1,24.77,0,17.84
Austria,2020-10-10,-20,-12,15,-26,-9,2,5.34,0,1.90000000000001
Austria,2020-10-11,-41,-30,-31,-32,-15,4,0.150000000000006,0,-23.9
Austria,2020-10-12,-20,-8,-11,-20,-17,3,7,0,-5.20999999999999
Austria,2020-10-13,-23,-10,-12,-22,-18,4,8.59,0,-10.35
Austria,2020-10-14,-21,-9,-6,-20,-17,4,9.15000000000001,0,-4.52
Austria,2020-10-15,-22,-7,-17,-20,-17,4,8.09999999999999,0,-5.02
Austria,2020-10-16,-24,-10,-31,-24,-17,5,13.3,0,-6.03
Austria,2020-10-17,-22,-14,-14,-31,-12,4,0.0400000000000063,0,-6.04000000000001
Austria,2020-10-18,-31,-23,18,-25,-13,2,0.950000000000003,0,-22.83
Austria,2020-10-19,-21,-13,3,-20,-16,3,2.41,0,-9.75
Austria,2020-10-20,-21,-11,19,-20,-17,3,6.41,0,-4.33
Austria,2020-10-21,-22,-12,16,-19,-16,4,5.87,0,-5.68000000000001
Austria,2020-10-22,-23,-9,9,-18,-17,4,5.65000000000001,0,-4.15000000000001
Austria,2020-10-23,-24,-6,-1,-21,-18,4,11.49,0,-5.66
Austria,2020-10-24,-26,-8,-10,-31,-12,4,-2.81,0,-11.54
Austria,2020-10-25,-25,-14,49,-25,-17,1,-6.61,0,-19.25
Austria,2020-10-26,-56,-87,58,-52,-80,19,-3.86,0,-24.85
Austria,2020-10-27,-18,4,-11,-27,-31,6,6.68000000000001,0,-9.44
Austria,2020-10-28,-19,-8,25,-26,-30,6,6.19,0,-1.45
Austria,2020-10-29,-24,-10,-24,-33,-31,8,1.70999999999999,0,-12.22
